Particle	A tiny part of a substance, such as an atom, molecule or ion. Each dot in this water model represents one molecule.
Solid	A state with closely packed particles in a regular arrangement. The particles vibrate about fixed positions.
Liquid	A state with particles close together in an irregular arrangement. The particles move past one another.
Gas	A state with particles far apart in a random arrangement. The particles move freely in all directions.
Vibrate	Move back and forth about a fixed position. This describes particle movement in a solid.
Temperature	A measure of the average kinetic energy of particles. It is measured using a thermometer, commonly in °C.
Kinetic energy	The energy of movement. For particles of the same mass, faster movement means more of this energy.
Average kinetic energy	The total kinetic energy of the particles divided by the number of particles. Individual particles may have different energies.
Intermolecular attractions	Forces acting between molecules that pull them towards one another. These are overcome when water boils.
Potential energy	Energy associated with particle arrangement and interactions. It increases as attractions are overcome during melting or boiling.
Melting point	The temperature at which a pure solid changes to a liquid. For pure water at normal air pressure, this is 0°C.
Boiling point	The temperature at which a liquid forms vapour bubbles throughout. For pure water at normal air pressure, this is 100°C.
Plateau	A flat section of a graph. On a phase-change curve for a pure substance at constant pressure, the state changes at constant temperature.
Melting	Solid → liquid. Energy is absorbed. Example: an ice cube becomes a puddle.
Freezing	Liquid → solid. Energy is released. Example: water in a tray becomes ice.
Boiling	Liquid → gas throughout the liquid, with vapour bubbles, at the boiling point for the given pressure.
Evaporation	Liquid → gas at the surface. It can happen below the boiling point. Example: a wet shirt dries at 25°C.
Condensation	Gas → liquid. Energy is released. Example: water vapour becomes droplets on the outside of a cold glass.
Sublimation	Solid → gas directly, without a liquid stage. Energy is absorbed. Example: dry ice at normal air pressure.
Deposition	Gas → solid directly, without a liquid stage. Energy is released. Example: water vapour forms frost.
